Attack,Threshold,Mode,Accuracy
pgd1_10,0.11647926983474832,bit_depth_1&median_filter_2,0.5601048810004033
pgd1_15,0.10025968108034194,bit_depth_1,0.622327551432029
pgd1_15,0.09009392003563432,bit_depth_2,0.6407825736183945
pgd1_15,0.1012285241192572,median_filter_2,0.6391690197660347
pgd1_15,0.17273919672403634,median_filter_3,0.6096208148446954
pgd1_15,0.11647926983474832,bit_depth_1&median_filter_2,0.6372529245663574
pgd1_20,0.10025968108034194,bit_depth_1,0.7207543364259782
pgd1_20,0.09009392003563432,bit_depth_2,0.7237797498991528
pgd1_20,0.1012285241192572,median_filter_2,0.7245865268253328
pgd1_20,0.17273919672403634,median_filter_3,0.6889874949576442
pgd1_20,0.11647926983474832,bit_depth_1&median_filter_2,0.7339653085921742
pgd2_1,0.10025968108034194,bit_depth_1,0.5655506252521177
pgd2_1,0.09009392003563432,bit_depth_2,0.5805768455022187
pgd2_1,0.1012285241192572,median_filter_2,0.5819887051230335
pgd2_1,0.17273919672403634,median_filter_3,0.5602057281161759
pgd2_1,0.11647926983474832,bit_depth_1&median_filter_2,0.5776522791448164
pgd2_1.5,0.10025968108034194,bit_depth_1,0.6752722872125857
pgd2_1.5,0.09009392003563432,bit_depth_2,0.6935256151674062
pgd2_1.5,0.1012285241192572,median_filter_2,0.6895925776522791
pgd2_1.5,0.17273919672403634,median_filter_3,0.6519766034691408
pgd2_1.5,0.11647926983474832,bit_depth_1&median_filter_2,0.6906010488100041
pgd2_2,0.10025968108034194,bit_depth_1,0.795582896329165
pgd2_2,0.09009392003563432,bit_depth_2,0.7786405808793868
pgd2_2,0.1012285241192572,median_filter_2,0.7805566760790641
pgd2_2,0.17273919672403634,median_filter_3,0.7564542154094392
pgd2_2,0.11647926983474832,bit_depth_1&median_filter_2,0.8064743848325938
pgdi_0.125,0.10025968108034194,bit_depth_1,0.6213190802743042
pgdi_0.125,0.09009392003563432,bit_depth_2,0.6299919322307382
pgdi_0.125,0.1012285241192572,median_filter_2,0.6389673255344898
pgdi_0.125,0.17273919672403634,median_filter_3,0.618596208148447
pgdi_0.125,0.11647926983474832,bit_depth_1&median_filter_2,0.6294876966518758
