Attack,Threshold,Mode,Accuracy
pgd1_20,0.10025968108034194,bit_depth_1,0.6483323581041545
pgd1_20,0.09009392003563432,bit_depth_2,0.6914862492685782
pgd1_20,0.1012285241192572,median_filter_2,0.680368636629608
pgd1_20,0.17273919672403634,median_filter_3,0.6239028671737858
pgd1_20,0.11647926983474832,bit_depth_1&median_filter_2,0.6692510239906378
pgd2_1,0.10025968108034194,bit_depth_1,0.553048128342246
pgd2_1,0.09009392003563432,bit_depth_2,0.5714438502673796
pgd2_1,0.1012285241192572,median_filter_2,0.5725133689839572
pgd2_1,0.17273919672403634,median_filter_3,0.5500534759358289
pgd2_1,0.11647926983474832,bit_depth_1&median_filter_2,0.5671657754010695
pgd2_1.5,0.10025968108034194,bit_depth_1,0.6281312625250501
pgd2_1.5,0.09009392003563432,bit_depth_2,0.6698396793587175
pgd2_1.5,0.1012285241192572,median_filter_2,0.6584418837675351
pgd2_1.5,0.17273919672403634,median_filter_3,0.6093436873747495
pgd2_1.5,0.11647926983474832,bit_depth_1&median_filter_2,0.6484218436873748
pgd2_2,0.10025968108034194,bit_depth_1,0.6962220508866616
pgd2_2,0.09009392003563432,bit_depth_2,0.7555898226676947
pgd2_2,0.1012285241192572,median_filter_2,0.7322667694680031
pgd2_2,0.17273919672403634,median_filter_3,0.6684656900539707
pgd2_2,0.11647926983474832,bit_depth_1&median_filter_2,0.7195451040863531
pgdi_0.125,0.10025968108034194,bit_depth_1,0.6014878969575839
pgdi_0.125,0.09009392003563432,bit_depth_2,0.6105929380413058
pgdi_0.125,0.1012285241192572,median_filter_2,0.6225849433710859
pgdi_0.125,0.17273919672403634,median_filter_3,0.6019320453031313
pgdi_0.125,0.11647926983474832,bit_depth_1&median_filter_2,0.6112591605596269
pgdi_0.25,0.10025968108034194,bit_depth_1,0.8076162215628091
pgdi_0.25,0.09009392003563432,bit_depth_2,0.9446092977250248
pgdi_0.25,0.1012285241192572,median_filter_2,0.8452027695351138
pgdi_0.25,0.17273919672403634,median_filter_3,0.7992087042532147
pgdi_0.25,0.11647926983474832,bit_depth_1&median_filter_2,0.8288822947576657
cwi,0.10025968108034194,bit_depth_1,0.521010142827572
cwi,0.09009392003563432,bit_depth_2,0.5214241357896916
cwi,0.1012285241192572,median_filter_2,0.5206996481059822
cwi,0.17273919672403634,median_filter_3,0.5199751604222729
cwi,0.11647926983474832,bit_depth_1&median_filter_2,0.522148623473401
df,0.10025968108034194,bit_depth_1,0.8329918032786885
df,0.09009392003563432,bit_depth_2,0.8463114754098361
df,0.1012285241192572,median_filter_2,0.8565573770491803
df,0.17273919672403634,median_filter_3,0.8319672131147541
df,0.11647926983474832,bit_depth_1&median_filter_2,0.8545081967213115
hop,0.10025968108034194,bit_depth_1,0.6058298890580813
hop,0.09009392003563432,bit_depth_2,0.6720687404829236
hop,0.1012285241192572,median_filter_2,0.6373721992603872
hop,0.17273919672403634,median_filter_3,0.5937567979116816
hop,0.11647926983474832,bit_depth_1&median_filter_2,0.6239939090711334
sta,0.10025968108034194,bit_depth_1,0.8932714617169374
sta,0.09009392003563432,bit_depth_2,0.8932714617169374
sta,0.1012285241192572,median_filter_2,0.8677494199535963
sta,0.17273919672403634,median_filter_3,0.8468677494199536
sta,0.11647926983474832,bit_depth_1&median_filter_2,0.888631090487239
sa,0.10025968108034194,bit_depth_1,0.6766157989228008
sa,0.09009392003563432,bit_depth_2,0.8136220825852782
sa,0.1012285241192572,median_filter_2,0.7567324955116697
sa,0.17273919672403634,median_filter_3,0.7305879712746858
sa,0.11647926983474832,bit_depth_1&median_filter_2,0.7369838420107719
